Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings
2010-05-19,Birmingham,Dallas,Birmingham,3,2
2010-05-20,Seattle,Los Angeles,Seattle,6,5
2010-05-20,Monterrey,Nashville,Monterrey,10,2
2010-05-20,Merida,Atlanta,Atlanta,5,8
2010-05-20,Vancouver,Tijuana,Vancouver,8,3
2010-05-20,Phoenix,Calgary,Calgary,5,9
2010-05-20,Charlotte,San Antonio,Charlotte,6,0
2010-05-21,Monterrey,Birmingham,Birmingham,1,2
2010-05-21,Los Angeles,Denver,Los Angeles,13,7
2010-05-21,Phoenix,Vancouver,Phoenix,9,1
2010-05-21,Dallas,Nashville,Nashville,0,2
2010-05-21,San Antonio,Atlanta,Atlanta,1,6
2010-05-21,Calgary,Oakland,Calgary,8,1
2010-05-22,Monterrey,Birmingham,Monterrey,7,4
2010-05-22,Los Angeles,Denver,Denver,2,10
2010-05-22,Dallas,Nashville,Nashville,2,3
2010-05-22,San Antonio,Atlanta,Atlanta,2,6
2010-05-22,Calgary,Oakland,Calgary,5,2
2010-05-22,Seattle,Tijuana,Seattle,8,1
2010-05-23,Monterrey,Birmingham,Birmingham,0,1
2010-05-23,Los Angeles,Denver,Denver,1,6
2010-05-23,Merida,Charlotte,Charlotte,4,8
2010-05-23,Phoenix,Vancouver,Phoenix,8,0
2010-05-23,Dallas,Nashville,Nashville,5,6
2010-05-23,San Antonio,Atlanta,San Antonio,3,0
2010-05-23,Calgary,Oakland,Calgary,3,2
2010-05-23,Seattle,Tijuana,Seattle,4,3
2010-05-24,Vancouver,Oakland,Vancouver,5,4
2010-05-24,Atlanta,Monterrey,Monterrey,4,7
2010-05-24,San Antonio,Nashville,Nashville,3,10
2010-05-24,Denver,Phoenix,Denver,7,6
2010-05-25,Merida,Birmingham,Birmingham,1,2
2010-05-25,Charlotte,Dallas,Charlotte,7,4
2010-05-25,Tijuana,Calgary,Tijuana,5,2
2010-05-25,Los Angeles,Seattle,Los Angeles,9,8
2010-05-25,Vancouver,Oakland,Vancouver,9,3
2010-05-25,Atlanta,Monterrey,Atlanta,9,2
2010-05-25,San Antonio,Nashville,San Antonio,8,6
2010-05-25,Denver,Phoenix,Phoenix,1,3
2010-05-26,Merida,Birmingham,Birmingham,3,8
2010-05-26,Charlotte,Dallas,Charlotte,11,2
2010-05-26,Tijuana,Calgary,Calgary,5,6
2010-05-26,Vancouver,Oakland,Oakland,3,8
2010-05-26,Atlanta,Monterrey,Atlanta,6,5
2010-05-26,San Antonio,Nashville,Nashville,7,10
2010-05-27,Merida,Birmingham,Merida,2,1
2010-05-27,Charlotte,Dallas,Dallas,3,8
2010-05-27,Nashville,Monterrey,Monterrey,1,7
2010-05-27,Oakland,Seattle,Oakland,4,1
2010-05-27,Phoenix,Denver,Denver,3,4
2010-05-28,Charlotte,Merida,Charlotte,10,0
2010-05-28,Dallas,Atlanta,Dallas,3,0
2010-05-28,Birmingham,San Antonio,San Antonio,3,4
2010-05-28,Tijuana,Vancouver,Vancouver,3,5
2010-05-28,Nashville,Monterrey,Nashville,5,2
2010-05-28,Oakland,Seattle,Oakland,6,5
2010-05-28,Phoenix,Denver,Denver,2,5
2010-05-29,Charlotte,Merida,Merida,1,11
2010-05-29,Calgary,Los Angeles,Calgary,5,1
2010-05-29,Dallas,Atlanta,Dallas,12,2
2010-05-29,Birmingham,San Antonio,San Antonio,2,3
2010-05-29,Tijuana,Vancouver,Vancouver,0,10
2010-05-29,Nashville,Monterrey,Monterrey,2,3
2010-05-29,Oakland,Seattle,Oakland,6,0
2010-05-29,Phoenix,Denver,Denver,4,11
2010-05-30,Charlotte,Merida,Merida,5,9
2010-05-30,Calgary,Los Angeles,Calgary,9,4
2010-05-30,Dallas,Atlanta,Atlanta,5,7
2010-05-30,Birmingham,San Antonio,San Antonio,2,4
2010-05-30,Tijuana,Vancouver,Vancouver,0,9
2010-05-30,Seattle,Phoenix,Phoenix,2,7
2010-05-31,Atlanta,Merida,Atlanta,6,5
2010-05-31,Oakland,Calgary,Oakland,6,5
2010-05-31,Los Angeles,Vancouver,Los Angeles,7,6
2010-05-31,Denver,Tijuana,Tijuana,2,6
2010-05-31,Birmingham,Monterrey,Monterrey,6,7
2010-05-31,Dallas,Charlotte,Dallas,6,1
2010-05-31,Seattle,Phoenix,Seattle,1,0
2010-06-01,Nashville,San Antonio,San Antonio,0,3
2010-06-01,Oakland,Calgary,Calgary,1,2
2010-06-01,Los Angeles,Vancouver,Los Angeles,3,2
