Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-05-12,San Antonio,Birmingham,Birmingham,3,4,,,,,1
2010-05-13,Nashville,Merida,Merida,7,12,,,,,1
2010-05-13,Phoenix,Seattle,Seattle,0,5,,,,,1
2010-05-13,Calgary,Los Angeles,Los Angeles,0,2,,,,,1
2010-05-13,Dallas,Charlotte,Dallas,10,1,,,,,1
2010-05-13,Atlanta,Monterrey,Monterrey,2,8,,,,,1
2010-05-13,Oakland,Denver,Oakland,7,3,,,,,1
2010-05-14,Monterrey,Nashville,Nashville,2,6,,,,,1
2010-05-14,Phoenix,Calgary,Calgary,1,5,,,,,1
2010-05-14,Charlotte,Merida,Charlotte,12,3,,,,,1
2010-05-14,Seattle,Tijuana,Seattle,9,7,,,,,1
2010-05-14,Dallas,Birmingham,Birmingham,1,2,,,,,1
2010-05-15,San Antonio,Atlanta,San Antonio,7,4,,,,,1
2010-05-15,Denver,Los Angeles,Denver,3,2,,,,,1
2010-05-15,Oakland,Vancouver,Vancouver,2,3,,,,,1
2010-05-15,Monterrey,Nashville,Monterrey,3,2,,,,,1
2010-05-15,Phoenix,Calgary,Calgary,2,5,,,,,1
2010-05-15,Charlotte,Merida,Merida,2,9,,,,,1
2010-05-15,Seattle,Tijuana,Seattle,9,2,,,,,1
2010-05-15,Dallas,Birmingham,Birmingham,9,14,,,,,1
2010-05-16,San Antonio,Atlanta,San Antonio,11,7,,,,,1
2010-05-16,Denver,Los Angeles,Denver,8,4,,,,,1
2010-05-16,Oakland,Vancouver,Vancouver,4,12,,,,,1
2010-05-16,Monterrey,Nashville,Monterrey,7,0,,,,,1
2010-05-16,Phoenix,Calgary,Phoenix,8,6,,,,,1
2010-05-16,Charlotte,Merida,Charlotte,5,2,,,,,1
2010-05-16,Dallas,Birmingham,Birmingham,2,7,,,,,1
2010-05-17,San Antonio,Atlanta,Atlanta,8,10,,,,,1
2010-05-17,Oakland,Vancouver,Vancouver,3,7,,,,,1
2010-05-17,Seattle,Phoenix,Phoenix,2,5,,,,,1
2010-05-18,San Antonio,Charlotte,Charlotte,3,4,,,,,1
2010-05-18,Merida,Atlanta,Atlanta,5,7,,,,,1
2010-05-18,Los Angeles,Calgary,Calgary,3,6,,,,,1
2010-05-18,Vancouver,Oakland,Vancouver,3,0,,,,,1
2010-05-18,Monterrey,Birmingham,Birmingham,3,7,,,,,1
2010-05-18,Tijuana,Denver,Denver,1,3,,,,,1
2010-05-18,Seattle,Phoenix,Phoenix,1,3,,,,,1
2010-05-19,San Antonio,Charlotte,Charlotte,1,7,,,,,1
2010-05-19,Merida,Atlanta,Merida,7,6,,,,,1
2010-05-19,Los Angeles,Calgary,Los Angeles,2,0,,,,,1
2010-05-19,Vancouver,Oakland,Oakland,2,4,,,,,1
2010-05-19,Nashville,Dallas,Nashville,5,4,,,,,1
2010-05-19,Monterrey,Birmingham,Monterrey,9,4,,,,,1
2010-05-19,Tijuana,Denver,Tijuana,10,5,,,,,1
2010-05-19,Seattle,Phoenix,Phoenix,5,6,,,,,1
2010-05-20,Merida,Atlanta,Merida,3,2,,,,,1
2010-05-20,Los Angeles,Calgary,Calgary,0,5,,,,,1
2010-05-20,Vancouver,Oakland,Vancouver,6,5,,,,,1
2010-05-20,Nashville,Dallas,Dallas,1,3,,,,,1
2010-05-20,Monterrey,Birmingham,Birmingham,1,5,,,,,1
2010-05-20,Tijuana,Denver,Tijuana,12,9,,,,,1
2010-05-21,Phoenix,Denver,Phoenix,7,1,,,,,1
2010-05-21,San Antonio,Nashville,San Antonio,5,4,,,,,1
2010-05-21,Atlanta,Dallas,Dallas,2,4,,,,,1
2010-05-21,Seattle,Oakland,Seattle,7,5,,,,,1
2010-05-21,Merida,Birmingham,Merida,20,1,,,,,1
2010-05-21,Tijuana,Calgary,Tijuana,10,2,,,,,1
2010-05-21,Charlotte,Monterrey,Charlotte,6,5,,,,,1
2010-05-21,Vancouver,Los Angeles,Los Angeles,1,4,,,,,1
2010-05-22,Phoenix,Denver,Denver,1,2,,,,,1
2010-05-22,San Antonio,Nashville,San Antonio,11,7,,,,,1
2010-05-22,Atlanta,Dallas,Dallas,2,8,,,,,1
2010-05-22,Seattle,Oakland,Seattle,5,2,,,,,1
2010-05-22,Merida,Birmingham,Merida,10,3,,,,,1
2010-05-22,Tijuana,Calgary,Calgary,4,5,,,,,1
2010-05-22,Charlotte,Monterrey,Charlotte,11,3,,,,,1
2010-05-22,Vancouver,Los Angeles,Vancouver,1,0,,,,,1
2010-05-23,Phoenix,Denver,Denver,0,6,,,,,1
