Date,Home,Away,Result,Home Score,Away Score,Wrap-up Result,WU Home Score,WU Away Score,WU innings,Sim Number
2010-09-10,New York,Detroit,Detroit,3,4,,,,,1
2010-09-10,Columbus,Montreal,Montreal,0,9,,,,,1
2010-09-10,Akron,Boston,Boston,1,3,,,,,1
2010-09-10,Pittsburgh,Winnipeg,Pittsburgh,4,3,,,,,1
2010-09-10,Indianapolis,New Haven,Indianapolis,8,6,,,,,1
2010-09-10,"Washington, D.C.",St. Louis,"Washington, D.C.",4,2,,,,,1
2010-09-11,New York,Detroit,Detroit,2,7,,,,,1
2010-09-11,Columbus,Montreal,Columbus,10,4,,,,,1
2010-09-11,St. Paul,Philadelphia,St. Paul,8,6,,,,,1
2010-09-11,Toronto,Chicago,Chicago,3,7,,,,,1
2010-09-11,Pittsburgh,Winnipeg,Pittsburgh,6,5,,,,,1
2010-09-11,"Washington, D.C.",St. Louis,St. Louis,5,6,,,,,1
2010-09-12,Indianapolis,Akron,Indianapolis,9,7,,,,,1
2010-09-12,New York,New Haven,New York,10,1,,,,,1
2010-09-12,Boston,Montreal,Montreal,8,9,,,,,1
2010-09-12,Detroit,Columbus,Columbus,1,4,,,,,1
2010-09-12,St. Paul,Winnipeg,St. Paul,9,4,,,,,1
2010-09-12,Philadelphia,Pittsburgh,Philadelphia,4,3,,,,,1
2010-09-12,Toronto,"Washington, D.C.",Toronto,2,1,,,,,1
2010-09-12,St. Louis,Chicago,Chicago,1,10,,,,,1
2010-09-13,Toronto,"Washington, D.C.","Washington, D.C.",4,5,,,,,1
2010-09-13,St. Louis,Chicago,St. Louis,3,1,,,,,1
2010-09-13,Philadelphia,Pittsburgh,Philadelphia,3,2,,,,,1
2010-09-13,Indianapolis,Akron,Indianapolis,3,1,,,,,1
2010-09-13,New York,New Haven,New York,4,1,,,,,1
2010-09-13,Boston,Montreal,Montreal,0,12,,,,,1
2010-09-13,Detroit,Columbus,Detroit,9,6,,,,,1
2010-09-13,St. Paul,Winnipeg,St. Paul,5,0,,,,,1
2010-09-14,Toronto,"Washington, D.C.",Toronto,6,3,,,,,1
2010-09-14,St. Louis,Chicago,St. Louis,3,1,,,,,1
2010-09-14,Philadelphia,Pittsburgh,Philadelphia,5,1,,,,,1
2010-09-14,Indianapolis,Akron,Indianapolis,8,7,,,,,1
2010-09-14,New York,New Haven,New Haven,5,7,,,,,1
2010-09-14,Boston,Montreal,Boston,3,0,,,,,1
2010-09-14,Detroit,Columbus,Columbus,6,7,,,,,1
2010-09-14,St. Paul,Winnipeg,St. Paul,10,7,,,,,1
2010-09-15,Toronto,"Washington, D.C.",Toronto,4,3,,,,,1
2010-09-15,St. Louis,Chicago,St. Louis,5,2,,,,,1
2010-09-15,Philadelphia,Pittsburgh,Philadelphia,5,1,,,,,1
2010-09-15,Akron,Indianapolis,Indianapolis,4,8,,,,,1
2010-09-15,New Haven,Montreal,Montreal,1,8,,,,,1
2010-09-15,Boston,New York,Boston,4,3,,,,,1
2010-09-15,St. Paul,Winnipeg,St. Paul,6,5,,,,,1
2010-09-15,Columbus,Detroit,Columbus,4,3,,,,,1
2010-09-16,Chicago,St. Paul,Chicago,5,1,,,,,1
2010-09-16,Pittsburgh,"Washington, D.C.",Pittsburgh,8,5,,,,,1
2010-09-16,Toronto,Philadelphia,Toronto,6,0,,,,,1
2010-09-16,Winnipeg,St. Louis,Winnipeg,4,3,,,,,1
2010-09-16,Columbus,Detroit,Columbus,13,2,,,,,1
2010-09-16,Boston,New York,New York,1,3,,,,,1
2010-09-17,Pittsburgh,"Washington, D.C.","Washington, D.C.",2,10,,,,,1
2010-09-17,Toronto,Philadelphia,Toronto,4,3,,,,,1
2010-09-17,Winnipeg,St. Louis,St. Louis,3,5,,,,,1
2010-09-17,Columbus,Detroit,Detroit,0,1,,,,,1
2010-09-17,Akron,Indianapolis,Akron,2,1,,,,,1
2010-09-17,New Haven,Montreal,New Haven,6,4,,,,,1
2010-09-18,Chicago,St. Paul,St. Paul,2,4,,,,,1
2010-09-18,Pittsburgh,"Washington, D.C.",Pittsburgh,6,3,,,,,1
2010-09-18,Toronto,Philadelphia,Philadelphia,4,9,,,,,1
2010-09-18,Winnipeg,St. Louis,Winnipeg,6,3,,,,,1
2010-09-18,Columbus,Detroit,Columbus,1,0,,,,,1
2010-09-18,Boston,New York,New York,3,5,,,,,1
