Sim Number,Standings Date,Timing,Season Part,Conference,Division,Group,Rank,Team,Wins,Losses,Ties to Finish,Winning Percent,Team Strength
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Rush Group,3,Tijuana,55,56,5,0.4954954954954955,0.51
1,2010-08-12,pre Wind-up,Part 3,Visionaries,West Division,Rush Group,4,Oakland,46,65,5,0.4144144144144144,0.41
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Rush Group,1,Los Angeles,60,57,0,0.5128205128205128,0.508
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Rush Group,2,Phoenix,59,58,0,0.5042735042735043,0.491
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Rush Group,3,Tijuana,58,58,0,0.5,0.51
1,2010-08-13,post Wind-up,Part 3,Visionaries,West Division,Rush Group,4,Oakland,48,68,0,0.41379310344827586,0.41
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Port Group,1,New Haven,81,71,4,0.5328947368421053,0.531
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Port Group,2,Montreal,82,72,2,0.5324675324675324,0.525
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Port Group,3,New York,78,77,1,0.5032258064516129,0.494
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Port Group,4,Boston,70,80,6,0.4666666666666667,0.506
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Port Group,1,Montreal,83,73,0,0.532051282051282,0.525
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Port Group,1,New Haven,83,73,0,0.532051282051282,0.531
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Port Group,3,New York,79,77,0,0.5064102564102564,0.494
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Port Group,4,Boston,74,82,0,0.47435897435897434,0.506
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Canal Group,1,Toronto,90,62,4,0.5921052631578947,0.571
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Canal Group,2,Pittsburgh,88,66,2,0.5714285714285714,0.562
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Canal Group,3,Philadelphia,70,82,4,0.4605263157894737,0.389
1,2010-09-25,pre Wind-up,Part 4,Founders,East Division,Canal Group,4,"Washington, D.C.",50,101,5,0.33112582781456956,0.253
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Canal Group,1,Toronto,93,63,0,0.5961538461538461,0.571
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Canal Group,2,Pittsburgh,89,67,0,0.5705128205128205,0.562
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Canal Group,3,Philadelphia,70,86,0,0.44871794871794873,0.389
1,2010-09-26,post Wind-up,Part 4,Founders,East Division,Canal Group,4,"Washington, D.C.",53,103,0,0.33974358974358976,0.253
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Aurora Group,1,St. Paul,86,66,4,0.5657894736842105,0.5
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Aurora Group,2,Chicago,74,79,3,0.48366013071895425,0.49
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Aurora Group,3,Winnipeg,68,86,2,0.44155844155844154,0.481
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Aurora Group,3,St. Louis,68,86,2,0.44155844155844154,0.457
1,2010-09-26,post Wind-up,Part 4,Founders,West Division,Aurora Group,1,St. Paul,89,67,0,0.5705128205128205,0.5
1,2010-09-26,post Wind-up,Part 4,Founders,West Division,Aurora Group,2,Chicago,75,81,0,0.4807692307692308,0.49
1,2010-09-26,post Wind-up,Part 4,Founders,West Division,Aurora Group,3,Winnipeg,69,87,0,0.4423076923076923,0.481
1,2010-09-26,post Wind-up,Part 4,Founders,West Division,Aurora Group,3,St. Louis,69,87,0,0.4423076923076923,0.457
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Rail Group,1,Indianapolis,97,55,4,0.6381578947368421,0.58
1,2010-09-25,pre Wind-up,Part 4,Founders,West Division,Rail Group,2,Columbus,77,78,1,0.4967741935483871,0.531
