Timing,Season Part,Conference,Division,Group,Rank,Team,Wins,Losses,Ties to Finish,Winning Percent,Team Strength
pre Wind-up,Part 4,Founders,East Division,Port Group,4,Montreal,53,97,5,0.353,0.377
post Wind-up,Part 4,Founders,East Division,Port Group,1,New Haven,90,65,0,0.581,0.574
post Wind-up,Part 4,Founders,East Division,Port Group,2,Boston,76,80,0,0.487,0.51
post Wind-up,Part 4,Founders,East Division,Port Group,3,New York,67,89,0,0.429,0.383
post Wind-up,Part 4,Founders,East Division,Port Group,4,Montreal,55,100,0,0.355,0.377
pre Wind-up,Part 4,Founders,East Division,Canal Group,1,Philadelphia,93,59,4,0.612,0.512
pre Wind-up,Part 4,Founders,East Division,Canal Group,2,Toronto,80,73,3,0.523,0.549
pre Wind-up,Part 4,Founders,East Division,Canal Group,3,"Washington, D.C.",79,75,2,0.513,0.549
pre Wind-up,Part 4,Founders,East Division,Canal Group,4,Pittsburgh,75,77,4,0.493,0.475
post Wind-up,Part 4,Founders,East Division,Canal Group,1,Philadelphia,94,62,0,0.603,0.512
post Wind-up,Part 4,Founders,East Division,Canal Group,2,Toronto,81,75,0,0.519,0.549
post Wind-up,Part 4,Founders,East Division,Canal Group,2,"Washington, D.C.",81,75,0,0.519,0.549
post Wind-up,Part 4,Founders,East Division,Canal Group,4,Pittsburgh,79,77,0,0.506,0.475
pre Wind-up,Part 4,Founders,West Division,Aurora Group,1,Chicago,89,62,5,0.589,0.586
pre Wind-up,Part 4,Founders,West Division,Aurora Group,2,Winnipeg,86,63,7,0.577,0.574
pre Wind-up,Part 4,Founders,West Division,Aurora Group,3,St. Louis,80,72,4,0.526,0.605
pre Wind-up,Part 4,Founders,West Division,Aurora Group,4,St. Paul,57,92,7,0.383,0.438
post Wind-up,Part 4,Founders,West Division,Aurora Group,1,Chicago,92,64,0,0.59,0.586
post Wind-up,Part 4,Founders,West Division,Aurora Group,2,Winnipeg,88,68,0,0.564,0.574
post Wind-up,Part 4,Founders,West Division,Aurora Group,3,St. Louis,83,73,0,0.532,0.605
post Wind-up,Part 4,Founders,West Division,Aurora Group,4,St. Paul,59,97,0,0.378,0.438
pre Wind-up,Part 4,Founders,West Division,Rail Group,1,Indianapolis,80,73,3,0.523,0.494
pre Wind-up,Part 4,Founders,West Division,Rail Group,2,Columbus,78,77,1,0.503,0.512
pre Wind-up,Part 4,Founders,West Division,Rail Group,3,Detroit,75,79,2,0.487,0.549
pre Wind-up,Part 4,Founders,West Division,Rail Group,4,Akron,65,87,4,0.428,0.469
post Wind-up,Part 4,Founders,West Division,Rail Group,1,Indianapolis,83,73,0,0.532,0.494
post Wind-up,Part 4,Founders,West Division,Rail Group,2,Columbus,79,77,0,0.506,0.512
post Wind-up,Part 4,Founders,West Division,Rail Group,3,Detroit,75,81,0,0.481,0.549
post Wind-up,Part 4,Founders,West Division,Rail Group,4,Akron,65,91,0,0.417,0.469
pre Wind-up,Part 4,Visionaries,East Division,Ridge Group,1,Birmingham,83,68,5,0.55,0.486
pre Wind-up,Part 4,Visionaries,East Division,Ridge Group,2,Nashville,75,77,4,0.493,0.454
pre Wind-up,Part 4,Visionaries,East Division,Ridge Group,3,Atlanta,75,79,2,0.487,0.506
pre Wind-up,Part 4,Visionaries,East Division,Ridge Group,4,Charlotte,73,78,5,0.483,0.487
post Wind-up,Part 4,Visionaries,East Division,Ridge Group,1,Birmingham,86,70,0,0.551,0.486
post Wind-up,Part 4,Visionaries,East Division,Ridge Group,2,Nashville,78,78,0,0.5,0.454
post Wind-up,Part 4,Visionaries,East Division,Ridge Group,3,Charlotte,76,80,0,0.487,0.487
post Wind-up,Part 4,Visionaries,East Division,Ridge Group,3,Atlanta,76,80,0,0.487,0.506
pre Wind-up,Part 4,Visionaries,East Division,Desert Group,1,Monterrey,92,63,1,0.594,0.559
